;id;club_id;club_name;league_id;season;matches_played;matches_overall;wins;draws;loses;goals_scored;goals_cons;goals_diff;points;place;qualified_to;is_champion;is_cup_winner;is_promoted
0;1;1;Bayern Munich ;4;1999;34;34;22;7;5;73;28;45;73;1;CL;1.0;1.0;0.0
1;2;2;Bay. Leverkusen;4;1999;34;34;21;10;3;74;36;38;73;2;CL;0.0;0.0;0.0
2;3;3;Hamburger SV;4;1999;34;34;16;11;7;63;39;24;59;3;CL Quals;0.0;0.0;0.0
3;4;4;1860 Munich;4;1999;34;34;14;11;9;55;48;7;53;4;CL Quals;0.0;0.0;0.0
4;5;5;1.FC K'lautern;4;1999;34;34;15;5;14;54;59;-5;50;5;EL Quals;0.0;0.0;0.0
5;6;6;Hertha BSC;4;1999;34;34;13;11;10;39;46;-7;50;6;EL Quals;0.0;0.0;0.0
6;7;7;VfL Wolfsburg;4;1999;34;34;12;13;9;51;58;-7;49;7;;0.0;0.0;0.0
7;8;8;VfB Stuttgart;4;1999;34;34;14;6;14;44;47;-3;48;8;;0.0;0.0;0.0
8;9;9;Werder Bremen;4;1999;34;34;13;8;13;65;52;13;47;9;;0.0;0.0;0.0
9;10;10;Unterhaching;4;1999;34;34;12;8;14;40;42;-2;44;10;;0.0;0.0;0.0
10;11;11;Bor. Dortmund;4;1999;34;34;9;13;12;41;38;3;40;11;;0.0;0.0;0.0
11;12;12;SC Freiburg;4;1999;34;34;10;10;14;45;50;-5;40;12;;0.0;0.0;0.0
12;13;13;FC Schalke 04;4;1999;34;34;8;15;11;42;44;-2;39;13;;0.0;0.0;0.0
13;14;14;E. Frankfurt;4;1999;34;34;12;5;17;42;44;-2;39;14;;0.0;0.0;0.0
14;15;15;Hansa Rostock;4;1999;34;34;8;14;12;44;60;-16;38;15;;0.0;0.0;0.0
15;16;16;SSV Ulm 1846;4;1999;34;34;9;8;17;36;62;-26;35;16;Relegated;0.0;0.0;0.0
16;17;17;Arm. Bielefeld;4;1999;34;34;7;9;18;40;61;-21;30;17;Relegated;0.0;0.0;0.0
17;18;18;MSV Duisburg;4;1999;34;34;4;10;20;37;71;-34;22;18;Relegated;0.0;0.0;0.0
18;19;1;Bayern Munich ;4;2000;34;34;19;6;9;62;37;25;63;1;CL;1.0;0.0;0.0
19;20;13;FC Schalke 04;4;2000;34;34;18;8;8;65;35;30;62;2;CL;0.0;1.0;0.0
20;21;11;Bor. Dortmund;4;2000;34;34;16;10;8;62;42;20;58;3;CL Quals;0.0;0.0;0.0
21;22;2;Bay. Leverkusen;4;2000;34;34;17;6;11;54;40;14;57;4;CL Quals;0.0;0.0;0.0
22;23;6;Hertha BSC;4;2000;34;34;18;2;14;58;52;6;56;5;EL Quals;0.0;0.0;0.0
23;24;12;SC Freiburg;4;2000;34;34;15;10;9;54;37;17;55;6;EL Quals;0.0;0.0;0.0
24;25;9;Werder Bremen;4;2000;34;34;15;8;11;53;48;5;53;7;;0.0;0.0;0.0
25;26;5;1.FC K'lautern;4;2000;34;34;15;5;14;49;54;-5;50;8;;0.0;0.0;0.0
26;27;7;VfL Wolfsburg;4;2000;34;34;12;11;11;60;45;15;47;9;;0.0;0.0;0.0
27;28;19;1. FC Köln;4;2000;34;34;12;10;12;59;52;7;46;10;;0.0;0.0;0.0
