id;coach_id;coach_name;club_id;club_name;season;appointed;contract_until
1;1;Sam Allardyce;289;Bolton;2005;1999-10-19;2007-04-30
2;1;Sam Allardyce;289;Bolton;2006;1999-10-19;2007-04-30
3;2;Sammy Lee;289;Bolton;2007;2007-04-30;2007-10-17
4;3;Gary Megson;289;Bolton;2008;2007-10-25;2009-12-30
5;3;Gary Megson;289;Bolton;2009;2007-10-25;2009-12-30
6;4;Owen Coyle;289;Bolton;2010;2010-01-20;2012-10-09
7;4;Owen Coyle;289;Bolton;2011;2010-01-20;2012-10-09
8;4;Owen Coyle;289;Bolton;2012;2010-01-20;2012-10-09
9;5;Dougie Freedman;289;Bolton;2013;2012-10-25;2014-10-03
10;5;Dougie Freedman;289;Bolton;2014;2012-10-25;2014-10-03
11;6;Neil Lennon;289;Bolton;2015;2014-10-13;2016-03-15
12;7;Phil Parkinson;289;Bolton;2016;2016-06-10;
13;7;Phil Parkinson;289;Bolton;2017;2016-06-10;
14;7;Phil Parkinson;289;Bolton;2018;2016-06-10;
15;8;David O'Leary;269;Aston Villa;2005;2003-05-20;2006-07-20
16;8;David O'Leary;269;Aston Villa;2006;2003-05-20;2006-07-20
17;9;Martin O'Neill;269;Aston Villa;2007;2006-08-04;2010-08-09
18;9;Martin O'Neill;269;Aston Villa;2008;2006-08-04;2010-08-09
19;9;Martin O'Neill;269;Aston Villa;2009;2006-08-04;2010-08-09
20;9;Martin O'Neill;269;Aston Villa;2010;2006-08-04;2010-08-09
21;10;Alex McLeish;269;Aston Villa;2011;2011-06-17;2012-05-14
22;11;;269;Aston Villa;2012;2012-06-02;2015-02-11
23;11;;269;Aston Villa;2013;2012-06-02;2015-02-11
24;12;Scott Marshall;269;Aston Villa;2014;2012-06-02;2015-02-11
25;13;Tim Sherwood;269;Aston Villa;2015;2015-02-16;2015-10-25
26;14;Roberto Di Matteo;269;Aston Villa;2016;2016-06-03;2016-10-03
27;15;Steve Bruce;269;Aston Villa;2017;2016-10-12;2018-10-03
28;16;Dean Smith;269;Aston Villa;2018;2018-10-10;
29;17;Dieter Hecking;27;Alem. Aachen;2005;2004-07-01;2006-09-07
30;17;Dieter Hecking;27;Alem. Aachen;2006;2004-07-01;2006-09-07
31;18;Guido Buchwald;27;Alem. Aachen;2007;2007-07-01;2007-11-26
32;19;Jürgen Seeberger;27;Alem. Aachen;2008;2008-01-02;2009-09-05
33;19;Jürgen Seeberger;27;Alem. Aachen;2009;2008-01-02;2009-09-05
34;20;Peter Hyballa;27;Alem. Aachen;2010;2010-07-01;2011-09-13
35;20;Peter Hyballa;27;Alem. Aachen;2011;2010-07-01;2011-09-13
36;21;Ralf Aussem;27;Alem. Aachen;2012;2012-07-01;2012-09-03
37;22;Hans-Peter Schubert;27;Alem. Aachen;2013;2013-07-01;2015-06-30
38;22;Hans-Peter Schubert;27;Alem. Aachen;2014;2013-07-01;2015-06-30
39;23;Christian Benbennek;27;Alem. Aachen;2015;2015-07-01;2015-12-05
40;24;Fuat Kilic;27;Alem. Aachen;2016;2016-01-01;
41;24;Fuat Kilic;27;Alem. Aachen;2017;2016-01-01;
42;24;Fuat Kilic;27;Alem. Aachen;2018;2016-01-01;2020-06-30
43;25;Josu Uribe;114;Elche CF;2005;2004-07-01;2006-01-30
44;26;Luis García;114;Elche CF;2006;2006-07-01;2007-01-08
45;27;David Vidal;114;Elche CF;2007;2007-01-08;2008-10-13
46;27;David Vidal;114;Elche CF;2008;2007-01-08;2008-10-13
47;28;Claudio Barragán;114;Elche CF;2009;2008-10-12;2009-10-04
48;29;Pepe Bordalás;114;Elche CF;2010;2009-10-05;2012-04-08
49;29;Pepe Bordalás;114;Elche CF;2011;2009-10-05;2012-04-08
50;30;Fran Escribá;114;Elche CF;2012;2012-07-01;2015-06-30
51;30;Fran Escribá;114;Elche CF;2013;2012-07-01;2015-06-30
52;30;Fran Escribá;114;Elche CF;2014;2012-07-01;2015-06-30
53;31;Rubén Baraja;114;Elche CF;2015;2015-07-12;2016-06-30
54;32;Alberto Toril;114;Elche CF;2016;2016-07-01;2017-04-29
55;33;Vicente Mir;114;Elche CF;2017;2017-07-01;2017-11-13
56;34;Pacheta;114;Elche CF;2018;2018-02-27;2019-06-30
57;35;Colin Hendry;302;Blackpool;2005;2004-07-01;2005-11-29
58;36;Simon Grayson;302;Blackpool;2006;2006-01-13;2008-12-23
59;36;Simon Grayson;302;Blackpool;2007;2006-01-13;2008-12-23
60;36;Simon Grayson;302;Blackpool;2008;2006-01-13;2008-12-23
61;37;Ian Holloway;302;Blackpool;2009;2009-07-01;2012-11-03
62;37;Ian Holloway;302;Blackpool;2010;2009-07-01;2012-11-03
63;37;Ian Holloway;302;Blackpool;2011;2009-07-01;2012-11-03
64;37;Ian Holloway;302;Blackpool;2012;2009-07-01;2012-11-03
65;38;Paul Ince;302;Blackpool;2013;2013-02-16;2014-01-21
66;39;José Riga;302;Blackpool;2014;2014-07-01;2014-10-27
67;40;Neil McDonald;302;Blackpool;2015;2015-06-02;2016-05-18
68;41;Gary Bowyer;302;Blackpool;2016;2016-06-01;2018-08-06
69;41;Gary Bowyer;302;Blackpool;2017;2016-06-01;2018-08-06
70;42;Terry McPhillips;302;Blackpool;2018;2018-09-10;
71;43;Rudi Garcia;72;Dijon;2005;2002-07-01;2007-06-30
72;43;Rudi Garcia;72;Dijon;2006;2002-07-01;2007-06-30
73;44;Serge Romano;72;Dijon;2007;2007-07-01;2007-12-17
74;45;Faruk Hadzibegic;72;Dijon;2008;2007-12-23;2009-06-30
75;46;Patrice Carteron;72;Dijon;2009;2009-07-01;2012-05-24
76;46;Patrice Carteron;72;Dijon;2010;2009-07-01;2012-05-24
77;46;Patrice Carteron;72;Dijon;2011;2009-07-01;2012-05-24
78;47;Olivier Dall'Oglio;72;Dijon;2012;2012-06-01;2018-12-31
79;47;Olivier Dall'Oglio;72;Dijon;2013;2012-06-01;2018-12-31
80;47;Olivier Dall'Oglio;72;Dijon;2014;2012-06-01;2018-12-31
81;47;Olivier Dall'Oglio;72;Dijon;2015;2012-06-01;2018-12-31
82;47;Olivier Dall'Oglio;72;Dijon;2016;2012-06-01;2018-12-31
83;47;Olivier Dall'Oglio;72;Dijon;2017;2012-06-01;2018-12-31
84;48;Antoine Kombouaré;72;Dijon;2018;2019-01-10;2019-06-30
85;49;Bert van Marwijk;11;Bor. Dortmund;2005;2004-07-01;2006-12-18
86;49;Bert van Marwijk;11;Bor. Dortmund;2006;2004-07-01;2006-12-18
87;50;Thomas Doll;11;Bor. Dortmund;2007;2007-03-13;2008-05-19
88;51;Jürgen Klopp;11;Bor. Dortmund;2008;2008-07-01;2015-06-30
89;51;Jürgen Klopp;11;Bor. Dortmund;2009;2008-07-01;2015-06-30
90;51;Jürgen Klopp;11;Bor. Dortmund;2010;2008-07-01;2015-06-30
91;51;Jürgen Klopp;11;Bor. Dortmund;2011;2008-07-01;2015-06-30
