id;name;off_name;country_id;city;stadium;stadium_id;is_first_team
1;Bayern Munich ;Bayern Munich;DEU;;;;1
2;Bay. Leverkusen;Bayer 04 Leverkusen;DEU;;;;1
3;Hamburger SV;Hamburger SV;DEU;;;;1
4;1860 Munich;TSV 1860 Munich;DEU;;;;1
5;1.FC K'lautern;1.FC Kaiserslautern;DEU;;;;1
6;Hertha BSC;Hertha BSC;DEU;;;;1
7;VfL Wolfsburg;VfL Wolfsburg;DEU;;;;1
8;VfB Stuttgart;VfB Stuttgart;DEU;;;;1
9;Werder Bremen;SV Werder Bremen;DEU;Bremen;Weserstadion;704.0;1
10;Unterhaching;SpVgg Unterhaching;DEU;;;;1
11;Bor. Dortmund;Borussia Dortmund;DEU;;;;1
12;SC Freiburg;SC Freiburg;DEU;Freiburg;Schwarzwald-Stadion;677.0;1
13;FC Schalke 04;FC Schalke 04;DEU;;;;1
14;E. Frankfurt;Eintracht Frankfurt;DEU;Frankfurt nad Menem;Commerzbank Arena;622.0;1
15;Hansa Rostock;FC Hansa Rostock;DEU;Rostock;DKB Arena;625.0;1
16;SSV Ulm 1846;SSV Ulm 1846;DEU;;;;1
17;Arm. Bielefeld;Arminia Bielefeld;DEU;Bielefeld;Schüco Arena;676.0;1
18;MSV Duisburg;MSV Duisburg;DEU;Duisburg;Schauinsland-Reisen-Arena;674.0;1
19;1. FC Köln;1. FC Köln;DEU;Cologne;Franz-Kremer-Stadion;635.0;1
20;Energie Cottbus;FC Energie Cottbus;DEU;Chociebuż;Stadion der Freundschaft;685.0;1
21;VfL Bochum;VfL Bochum;DEU;;;;1
22;Bor. M'gladbach;Borussia Mönchengladbach;DEU;;;;1
23;1.FC Nuremberg;1.FC Nuremberg;DEU;;;;1
24;FC St. Pauli;FC St. Pauli;DEU;;;;1
25;Hannover 96;Hannover 96;DEU;;;;1
26;1.FSV Mainz 05;1.FSV Mainz 05;DEU;;;;1
27;Alem. Aachen;Alemannia Aachen;DEU;;;;1
28;Karlsruher SC;Karlsruher SC;DEU;Karlsruhe;Wildparkstadion;705.0;1
29;TSG Hoffenheim;TSG 1899 Hoffenheim;DEU;;;;1
30;FC Augsburg;FC Augsburg;DEU;Augsburg;Rosenaustadion;671.0;1
31;F. Düsseldorf;Fortuna Düsseldorf;DEU;Düsseldorf;Merkur Spiel-Arena;660.0;1
32;Greuther Fürth;SpVgg Greuther Fürth;DEU;Fürth;Sportpark Ronhof;682.0;1
33;E. Braunschweig;Eintracht Braunschweig;DEU;;;;1
34;SC Paderborn;SC Paderborn 07;DEU;Paderborn;Benteler-Arena;617.0;1
35;FC Ingolstadt;FC Ingolstadt 04;DEU;;;;1
36;SV Darmstadt 98;SV Darmstadt 98;DEU;;;;1
37;RB Leipzig;RB Leipzig;DEU;Leipzig;Red Bull Arena;668.0;1
38;Monaco;AS Monaco;FRA;Monaco;Stade Louis II;585.0;1
39;Paris SG;Paris Saint-Germain;FRA;;;;1
40;Olympique Lyon;Olympique Lyon;FRA;;;;1
41;G. Bordeaux;FC Girondins Bordeaux;FRA;;;;1
42;Lens;RC Lens;FRA;Lens;Stade Bollaert-Delelis;554.0;1
43;Saint-Étienne;AS Saint-Étienne;FRA;Saint-Étienne;Stade Geoffroy-Guichard;579.0;1
44;CS Sedan;CS Sedan-Ardennes;FRA;;;;1
45;AJ Auxerre;AJ Auxerre;FRA;;;;1
46;R. Strasbourg;RC Strasbourg Alsace;FRA;;;;1
47;SC Bastia;SC Bastia;FRA;Furiani;Stade Armand-Cesari;550.0;1
48;FC Metz;FC Metz;FRA;;;;1
49;FC Nantes;FC Nantes;FRA;;;;1
50;Stade Rennais;Stade Rennais FC;FRA;Rennes;Roazhon Park;549.0;1
51;Troyes;ES Troyes AC;FRA;Troyes;Stade de l’Aube;560.0;1
52;Marseille;Olympique Marseille;FRA;Marseille;Orange Vélodrome;546.0;1
53;AS Nancy;AS Nancy-Lorraine;FRA;Nancy;Stade Marcel Picot;586.0;1
54;AC Le Havre;AC Le Havre;FRA;;;;1
55;Montpellier;HSC Montpellier;FRA;Montpellier;Stade de la Mosson;567.0;1
56;LOSC Lille;LOSC Lille;FRA;;;;1
57;Guingamp;EA Guingamp;FRA;;;;1
58;Toulouse;FC Toulouse;FRA;Toulouse;Stadium de Toulouse;599.0;1
59;FC Sochaux;FC Sochaux-Montbéliard;FRA;Montbéliard;Stade Auguste Bonal;551.0;1
60;FC Lorient;FC Lorient;FRA;Lorient;Stade du Moustoir;572.0;1
61;OGC Nice;OGC Nice;FRA;Nice;Allianz Riviera;541.0;1
62;AC Ajaccio;AC Ajaccio;FRA;Ajaccio;Stade François-Coty;576.0;1
63;Le Mans UC 72;Le Mans Union Club 72;FRA;;;;1
64;SM Caen;SM Caen;FRA;Caen;Stade Michel d’Ornano;589.0;1
65;FC Istres;FC Istres Ouest Provence ;FRA;;;;1
66;Valenciennes FC;Valenciennes FC ;FRA;Valenciennes;Stade du Hainaut;571.0;1
67;Grenoble;Grenoble Foot 38;FRA;Grenoble;Stade des Alpes;569.0;1
68;US Boulogne;US Boulogne;FRA;Boulogne-sur-Mer;Stade de la Libération;564.0;1
69;Stade Brest 29;Stade Brest 29;FRA;;;;1
70;AC Arles;Athlétic Club Arlésien;FRA;;;;1
71;Évian;FC Évian Thonon Gaillard;FRA;;;;1
72;Dijon;FCO Dijon;FRA;Dijon;Stade Gaston-Gérard;578.0;1
73;Reims;Stade Reims;FRA;Reims;Stade Auguste-Delaune;552.0;1
74;SCO Angers;SCO Angers;FRA;;;;1
75;G. Ajaccio;GFC Ajaccio;FRA;;;;1
76;SC Amiens;SC Amiens;FRA;;;;1
77;Nîmes Olympique;Nîmes Olympique;FRA;;;;1
78;Dep. La Coruña;Deportivo de La Coruña;ESP;;;;1
79;FC Barcelona;FC Barcelona;ESP;;;;1
80;Valencia;Valencia CF;ESP;Valencia;Estadio Mestalla;1686.0;1
81;Real Zaragoza;Real Zaragoza;ESP;Zaragoza;Estadio de La Romareda;1667.0;1
82;Real Madrid;Real Madrid;ESP;Madrid;Estadio Santiago Bernabéu;1698.0;1
83;Alavés;Deportivo Alavés;ESP;;;;1
84;Celta de Vigo;Celta de Vigo;ESP;Vigo;Abanca Balaídos;1643.0;1
85;Real Valladolid;Real Valladolid CF;ESP;Valladolid;Estadio José Zorrilla;1681.0;1
86;Rayo Vallecano;Rayo Vallecano;ESP;Madrid;Campo de Fútbol de Vallecas;1648.0;1
87;RCD Mallorca;RCD Mallorca;ESP;;;;1
88;Athletic;Athletic Bilbao;ESP;Bilbao;San Mamés Barria;1712.0;1
89;Málaga CF;Málaga CF;ESP;;;;1
90;Real Sociedad;Real Sociedad;ESP;San Sebastian;Estadio Anoeta;1658.0;1
91;Espanyol;RCD Espanyol Barcelona;ESP;Barcelona;RCDE Stadium;1711.0;1
92;Racing;Racing Santander;ESP;Paris;U Arena;601.0;1
93;Real Oviedo;Real Oviedo;ESP;Oviedo;Estadio Carlos Tartiere;1661.0;1
94;CD Numancia;CD Numancia;ESP;Soria;Nuevo Estadio Los Pajaritos;1709.0;1
95;Real Betis;Real Betis Balompié;ESP;Sevilla;Estadio Benito Villamarín;1659.0;1
96;Atlético Madrid;Atlético Madrid;ESP;Madrid;Wanda Metropolitano;1714.0;1
97;Sevilla FC;Sevilla FC;ESP;;;;1
98;Villarreal;Villarreal CF;ESP;;;;1
99;UD Las Palmas;UD Las Palmas;ESP;Las Palmas;Estadio Gran Canaria;1676.0;1
100;CA Osasuna;CA Osasuna;ESP;;;;1
101;CD Tenerife;CD Tenerife;ESP;;;;1
102;Recr. Huelva;Recreativo Huelva;ESP;Huelva;Estadio Nuevo Colombino;1692.0;1
103;Albacete;Albacete Balompié;ESP;Albacete;Estadio Carlos Belmonte;1660.0;1
104;Real Murcia;Real Murcia CF;ESP;Murcia;Estadio Nueva Condomina;1690.0;1
105;Getafe;Getafe CF;ESP;Getafe;Coliseum Alfonso Pérez;1650.0;1
106;Levante;Levante UD;ESP;Valencia;Estadi Ciutat de Valencia;1652.0;1
107;Cádiz CF;Cádiz CF;ESP;;;;1
108;Gimnàstic;Gimnàstic de Tarragona;ESP;;;;1
109;UD Almería;UD Almería;ESP;;;;1
110;Sporting Gijón;Sporting Gijón;ESP;;;;1
111;Xerez CD;Xerez CD;ESP;;;;1
112;Hércules CF;Hércules CF;ESP;Alicante;Estadio José Rico Pérez;1680.0;1
113;Granada CF;Granada CF;ESP;Granada;Estadio Nuevo Los Cármenes;1693.0;1
114;Elche CF;Elche CF;ESP;;;;1
115;SD Eibar;SD Eibar;ESP;Eibar;Estadio Ipurúa;1679.0;1
116;Córdoba CF;Córdoba CF;ESP;Cordoba;Estadio Nuevo  Arcángel;1691.0;1
117;CD Leganés;CD Leganés;ESP;Leganés;Estadio de Butarque;1665.0;1
118;Girona;Girona FC;ESP;;;;1
119;SD Huesca;SD Huesca;ESP;;;;1
120;Galatasaray;Galatasaray SK;TUR;Istanbul;Türk Telekom Stadium;1819.0;1
121;Besiktas;Besiktas JK;TUR;;;;1
122;Gaziantepspor;Gaziantepspor;TUR;Gaziantep;Gaziantep Stadyumu;1801.0;1
123;Fenerbahce;Fenerbahce SK;TUR;;;;1
124;Genclerbirligi;Genclerbirligi Ankara;TUR;;;;1
125;Trabzonspor;Trabzonspor;TUR;Trabzon;MedicalPark Stadyumu;1809.0;1
126;Samsunspor;Samsunspor;TUR;Samsun;19 Mayıs Stadyumu;1788.0;1
127;Denizlispor;Denizlispor;TUR;;;;1
128;Adanaspor;Adanaspor;TUR;Adana;Adana 5 Ocak Stadyumu;1790.0;1
129;Bursaspor;Bursaspor;TUR;Bursa;Timsah Arena;1817.0;1
130;Kocaelispor;Kocaelispor;TUR;;;;1
