id;confederation;stadium;city;home_teams;capacity;county;ioc;country_population
1;UEFA;Stadiumi Besëlidhja;Lezhë;Besëlidhja;7000;Albania;ALB;2876591
2;UEFA;Stadiumi Flamurtari;Vlorë;Flamurtari Vlorë;8200;Albania;ALB;2876591
3;UEFA;Stadiumi Laçi;Laçi;KF Laçi;5000;Albania;ALB;2876591
4;UEFA;Stadiumi Niko Dovana;Durrës;Teuta;12040;Albania;ALB;2876591
5;UEFA;Stadiumi Selman Stërmasi;Tirana;KF Tirana, Dinamo, Partizani;9500;Albania;ALB;2876591
6;UEFA;Stadiumi Skënderbeu;Korçë;Skënderbeu;7500;Albania;ALB;2876591
7;CAF;Stade 1er Novembre 1954;Tizi Ouzu;JSK;20000;Algeria;ALG;42200000
8;CAF;Stade Ahmed Zabana;Oran;MC Oran;40000;Algeria;ALG;42200000
9;CAF;Stade Amar Hareche;El Eulma;MCEE;5000;Algeria;ALG;42200000
10;CAF;Stade de l'Unité Maghrébine;Béjaïa;MO Béjaïa, JSM Béjaïa;22000;Algeria;ALG;42200000
11;CAF;Stade Mohamed Boumezrag;Chlef;ASO Chlef;17000;Algeria;ALG;42200000
12;CAF;Stade Mohamed-Benhaddad;Algiers;RC Kouba;10000;Algeria;ALG;42200000
13;CAF;Stade Omar Hamadi;Algiers;USM Alger;12000;Algeria;ALG;42200000
14;CAF;Stade Tahar Zoughari;Relizane;RC Relizane;20000;Algeria;ALG;42200000
15;CAF;Estádio 11 de Novembro;Kilamba Kiaxi;;50000;Angola;ANG;25789024
16;CAF;Estádio da Tundavala;Lubango;Sport Lubango e Benfica;20000;Angola;ANG;25789024
17;CAF;Estádio de Ombaka;Benguela;Clube 1° de Maio;35000;Angola;ANG;25789024
18;CAF;Estádio do Chiazi;Cabinda;FC de Cabinda;20000;Angola;ANG;25789024
19;CONMEBOL;El Cementario de los Elefantes;Santa Fe;Colón;32000;Argentina;ARG;43847430
20;CONMEBOL;El Gigante de Arroyito;Rosario;Rosario Central;41654;Argentina;ARG;43847430
21;CONMEBOL;El Monumental;Buenos Aires;River Plate;61321;Argentina;ARG;43847430
22;CONMEBOL;El Nuevo Gasómetro;Buenos Aires;San Lorenzo;43494;Argentina;ARG;43847430
23;CONMEBOL;Estadio Arquitecto Antonio Etcheverri;Buenos Aires;Club Ferro Caril Oeste;22797;Argentina;ARG;43847430
24;CONMEBOL;Estadio Ciudad de La Plata;La Plata;Estudiantes, Gimnasia;53000;Argentina;ARG;43847430
25;CONMEBOL;Estadio del Viaducto;Sarandí;Arsenal FC;16300;Argentina;ARG;43847430
26;CONMEBOL;Estadio Diego Armando Maradona;Buenos Aires;AA Argentinos Juniors;24800;Argentina;ARG;43847430
27;CONMEBOL;Estadio José Amalfitani;Buenos Aires;Vélez Sarsfield;49540;Argentina;ARG;43847430
28;CONMEBOL;Estadio Libertadores de America;Avellaneda;Independiente;48069;Argentina;ARG;43847430
29;CONMEBOL;Estadio Malvinas Argentinas;Mendoza;;40268;Argentina;ARG;43847430
30;CONMEBOL;Estadio Marcelo Bielsa;Rosario;Newell's Old Boys;42000;Argentina;ARG;43847430
31;CONMEBOL;Estadio Mario Alberto Kempes;Cordoba;;57000;Argentina;ARG;43847430
32;CONMEBOL;Estadio Néstor Díaz Pérez;Lanús;CA Lanús;46519;Argentina;ARG;43847430
33;CONMEBOL;Estadio Presidente Perón;Avellaneda;Racing Club;42500;Argentina;ARG;43847430
34;CONMEBOL;Estadio Tomás Adolfo Ducó;Buenos Aires;Huracán;48314;Argentina;ARG;43847430
35;CONMEBOL;Estadio Único;Villa Mercedes;;28000;Argentina;ARG;43847430
36;CONMEBOL;La Bombonera;Buenos Aires;Boca Juniors;49000;Argentina;ARG;43847430
37;UEFA;Alashkert Stadion;Yerevan;Alashkert;6850;Armenia;ARM;2924816
38;UEFA;Banants Stadion;Yerevan;Banants;4860;Armenia;ARM;2924816
39;UEFA;Hrazdan Stadion;Yerevan;Ararat, Kilikia;54208;Armenia;ARM;2924816
40;UEFA;Republican Stadion;Yerevan;Pyunik, Uliss;14403;Armenia;ARM;2924816
41;AFC;AAMI Park;Melbourne;Melbourne Victory;30050;Australia;AUS;25150200
42;AFC;Allianz Stadium;Paddington;Roosters, Waratahs, Sydney FC;45500;Australia;AUS;25150200
43;AFC;ANZ Stadium;Sydney;;83500;Australia;AUS;25150200
44;AFC;Bluetongue Stadium;Gosford;Mariners;20059;Australia;AUS;25150200
45;AFC;Cbus Super Stadium;Robina;Gold Coast United;27400;Australia;AUS;25150200
46;AFC;Coopers Stadium;Hindmarsh;Adelaide United;17000;Australia;AUS;25150200
47;AFC;GIO Canberra Stadium;Canberra;;25011;Australia;AUS;25150200
