id;player_id;player_name;position;apps;goals;assists
1;1;Jermaine Beckford;Centre-Forward;185;59.0;18.0
2;1;Jermaine Beckford;Right Winger;8;8.0;1.0
3;1;Jermaine Beckford;Second Striker;1;;
4;1;Jermaine Beckford;Left Winger;1;;
5;2;Harry Charsley;Central Midfield;28;4.0;
6;2;Harry Charsley;Left Midfield;20;5.0;4.0
7;2;Harry Charsley;Right Midfield;17;4.0;
8;2;Harry Charsley;Right-Back;7;;
9;2;Harry Charsley;Attacking Midfield;5;1.0;
10;2;Harry Charsley;Defensive Midfield;5;1.0;1.0
11;2;Harry Charsley;Left-Back;5;;
12;2;Harry Charsley;Right Winger;1;;
13;3;Mark Davies;Central Midfield;71;7.0;8.0
14;3;Mark Davies;Attacking Midfield;36;4.0;4.0
15;3;Mark Davies;Right Midfield;22;1.0;1.0
16;3;Mark Davies;Left Midfield;11;;3.0
17;3;Mark Davies;Defensive Midfield;2;1.0;
18;4;Alex McQuade;Centre-Back;34;1.0;
19;4;Alex McQuade;Defensive Midfield;3;;
20;4;Alex McQuade;Left-Back;3;;1.0
21;5;Przemyslaw Kazimierczak;Goalkeeper;29;;
22;5;Przemyslaw Kazimierczak;Defensive Midfield;1;;
23;6;Jaroslaw Fojut;Centre-Back;181;13.0;5.0
24;7;Sammy Ameobi;Left Winger;73;8.0;8.0
25;7;Sammy Ameobi;Right Winger;61;5.0;7.0
26;7;Sammy Ameobi;Centre-Forward;43;3.0;2.0
27;7;Sammy Ameobi;Second Striker;7;1.0;
28;7;Sammy Ameobi;Attacking Midfield;6;1.0;1.0
29;7;Sammy Ameobi;Right Midfield;1;;
30;8;Ali Al-Habsi;Goalkeeper;270;;
31;9;Michael O'Halloran;Left Winger;52;11.0;7.0
32;9;Michael O'Halloran;Centre-Forward;49;7.0;9.0
33;9;Michael O'Halloran;Right Winger;37;8.0;9.0
34;9;Michael O'Halloran;Attacking Midfield;3;3.0;
35;9;Michael O'Halloran;Second Striker;1;;
36;10;David N'Gog;Centre-Forward;160;32.0;16.0
37;10;David N'Gog;Attacking Midfield;1;;
38;11;Jussi Jääskeläinen;Goalkeeper;189;;
39;12;Radhi Jaidi;Centre-Back;5;1.0;
40;13;Jamie Proctor;Centre-Forward;168;36.0;21.0
41;13;Jamie Proctor;Right Winger;4;;
42;13;Jamie Proctor;Attacking Midfield;2;;
43;13;Jamie Proctor;Second Striker;1;1.0;
44;13;Jamie Proctor;Left Winger;1;;
45;14;Josh Vela;Attacking Midfield;63;7.0;5.0
46;14;Josh Vela;Defensive Midfield;58;2.0;2.0
47;14;Josh Vela;Central Midfield;47;4.0;2.0
48;14;Josh Vela;Right-Back;37;;3.0
49;14;Josh Vela;Centre-Forward;2;;
50;14;Josh Vela;Right Midfield;1;;
51;14;Josh Vela;Left Midfield;1;;
52;15;Tope Obadeyi;Left Winger;62;9.0;11.0
53;15;Tope Obadeyi;Centre-Forward;15;3.0;
54;15;Tope Obadeyi;Right Winger;14;6.0;
55;15;Tope Obadeyi;Left Midfield;14;2.0;2.0
56;15;Tope Obadeyi;Second Striker;5;1.0;1.0
57;15;Tope Obadeyi;Attacking Midfield;2;;
58;15;Tope Obadeyi;Right Midfield;1;;
59;16;Alexander Samizadeh;Centre-Forward;2;;
